rank,pid_1915,pid_1924,similarity,chapter_1915,chapter_1924,section_1924,text_1915,text_1924
257,C10-P09,C03-S03-I03-P02,0.07894736842105263,C10,C03,C03-S03,漢代の哲學は五行を大變力説したのでありますが、五行の中では水火の二つが根本的のものであります。 緯書の中には、木は水より生ずと云ふ意味があります。 水は木の母な...,古來로 宗敎家들이 사람을 가라치기를 世界는 火坑이라 하며 或은 魔窟 罪惡의 塊라 하엿나니 이 말이 世界로 하여곰 苦痛을 이루게 한 根本的 誤謬이...
258,C13-S01-P03,C03-S04-I03-P02,0.07894736842105263,C13,C03,C03-S04,第二に、基督敎の方では世界の創造を信じて居りますけれども、儒敎にはさういふことが素より無い。 儒敎では宇宙の發展して行く處は之を說きますけれども創造は說きませぬ...,一神敎는 宇宙는 唯一 神의 支配를 受한다 云하는 것이며 그리하야 其 所謂 一神은 人格을 具한 者라 觀하엿슴이라 宇宙에는 唯一 人格的 神이 有하야...
259,C13-S06-P02,C06-S06-P07,0.07894736842105263,C13,C06,C06-S06,それから基督敎では神樣の敎といふものを基督が説いた。 基督の説いたのは神樣の敎である。 此の敎を守れば人間は精神的生命を得る事が出來る、即ち永久不滅の生活に入る...,戊、基督敎는 사람性은 先天的으로 罪惡인 것을 信하나 儒敎는 性善을 信한 것이라 例하면 基督敎에서는 人類의 元祖인 아담이 神의 罰責을 受하엿슴으로...
260,C14-S03-P03,C06-S06-P09,0.07894736842105263,C14,C06,C06-S06,第二に佛敎は神人敎といふ宗敎であります。 神人敎といふのは神樣と人間とを嚴密に區別致さぬので、人間は神樣になれる、と斯う見る。 人間が修行を積みさへすれば遂には...,第二 . 佛敎와 基督敎의 差異点을 들러 보면
261,C14-S04-P02,C06-S06-P14,0.07894736842105263,C14,C06,C06-S06,第一に基督敎は神樣を全知全能のものと致しまして世界創造說を立てゝ居ります。 世界は神樣が造つたものであると、斯う舊約全書の初に說いてあるばかりでなく、ボーロの書...,戊、佛敎는 沒我敎이나 基督敎는 主我敎이라 佛敎는 個我를 沒케 하야 大我 即 佛의 性을 實現함으로써 그 目的을 삼앗스나 基督敎는 神性과 人格을 差...
262,C01-S02-P03,C06-S06-P18,0.07692307692307693,C01,C06,C06-S06,次には其知的解決を遂ぐると云ふことの爲にはそこに三つの特色が表はれて來る。 殊に之を自然科學などに比べますると、どうしても哲學の特色と見るべき次の三つの態度を認...,以上은 儒 佛 基三敎의 差異點을 槪述한 것이라 이제 人乃天이 그 三敎의 特色에 比하야 如何한 區別이 잇는가를 言하면
263,C01-S03-P03,C06-S06-P20,0.07692307692307693,C01,C06,C06-S06,第二は超物理學時代,第二「宇宙」 宇宙萬有는 進化하는 것으로 보는 것 人乃天 敎理에서 이른바 進化라 하는 것은 神 스스로가 無窮 以前에서부터 自己創造的 進化表顯으로 ...
264,C02-P01,C03-S04-I02-P06,0.07692307692307693,C02,C03,C03-S04,私は茲に唯物論と唯心論とに對する實在論の哲學的價値といふことに付いてお話をする積りであります。 是れは詳しくお話致しますと隨分長く掛かることでありますけれ共、今...,이러케 생각하고 보면 唯物論과 唯心論은 둘이다 各一條의 眞理를 가젓슴과 가티 둘이다 一偏의 缺陷이 잇슴을 알지라 即 眞理는 唯物임과 同時에 唯心...
265,C02-P06,C03-S04-I02-P06,0.07692307692307693,C02,C03,C03-S04,先づ唯物論に對して批評を加へやうと思ひますが、それには唯物論はどういふものであるかと云ふことを述べなければならぬ。,이러케 생각하고 보면 唯物論과 唯心論은 둘이다 各一條의 眞理를 가젓슴과 가티 둘이다 一偏의 缺陷이 잇슴을 알지라 即 眞理는 唯物임과 同時에 唯心...
266,C04-P02,C06-S06-P22,0.07692307692307693,C04,C06,C06-S06,吾々人類は意識界の中に居るのであります。 一方から言へば自然界に居るのであるけれども、一方から言へば意識界に居る。 吾々の生存して居る處は總て意識の境界である。...,第四「禍福」은 사람의 自業自得의 因果律로 信하는 것 그러타 하야 佛敎와 가티 單一我의 自業自得으로 된다 함이 안이오 人類 全體의 全 生活 如何의...
267,C05-P19,C01-S01-I01-P05,0.07692307692307693,C05,C01,C01-S01,其次に、生命と宇宙といふことに就いて極く簡單に私の見る所を述べて置かうと思ふ。 是れは餘り大きな問題でありますから、生命の初といふ處からして考を述べて見ませう。,우리는 생각한다 何故로 이러한 組織이 잇는 宇宙의 間에 何故로 이러한 性情을 가진 人生이 잇게 되엿을가? 함은 思컨대 이는 何人의 知力으로도 解...
268,C06-P08,C03-S04-I04-P02,0.07692307692307693,C06,C03,C03-S04,(三) 目的 - 第三の生命の特徴は目的 (Zweck) といふことであります。 生命は立派に目的々 (Zweckmässig) になつて居る。 生命は運動の繼...,다음 一般生物이 法則的 運動을 繼續하게 되는 것은 이 生命이 잇는 故이며 그리하야 其法則의 運動은 機械的이 안이오 欲動이라 하는 有機的 運動임을...
269,C06-P13,C03-S03-I02-P02,0.07692307692307693,C06,C03,C03-S03,第一、人間本位意識論(Anthropistische Theorie des Bewnsstseins)是れは意識は人間のみに外ないと云ふ説であります。 それは...,第一 사람은 한울님의 創造를 바든 者가 안이오 한울님 스스로가 自己創造의 力으로써 表顯된 것임을 알어야 하리라 곳 사람은 한울님 스스로가 進化의...
270,C06-P14,C03-S04-I06-P06,0.07692307692307693,C06,C03,C03-S04,第二、神經本位意識論(Neurologische Theorie des Bewnsstseins)是れは意識は獨り人間のみでない。 神經系統のある他動物にもあ...,第二 大宇宙의 活精이 사람에게 表顯될 時—吾人은 이를 稱하야 靈魂이라 하는 것
271,C06-P15,C06-S06-P21,0.07692307692307693,C06,C06,C06-S06,第三、動物本位意識論（Animalische Theorie des Bewusstseins）是れは凡ての動物に意識があると云ふのであります。 さうして單に動...,第三 「理想境」은 地上天國으로 한 것이니 人乃天은 神과 人을 區別치 안이함으로 人으로써 神性의 生活을 表顯하는 날이면 地上이 곧 天國된다 信하는...
272,C06-P16,C03-S04-I05-P04,0.07692307692307693,C06,C03,C03-S04,第四、生物本位意識論（Biologische Theorie des Bewusstseins）是れは凡ての有機體に意識がある、即ち動植物を通じて意識があると云...,둘재는 神經 本位의 意識論이니 即 神經이 잇는 것 以外에 意識이 업다 한 것인데 이것은 前者에 比하야 한 層 超越한 意識觀이 될 것이며
273,C06-P18,C03-S04-I05-P04,0.07692307692307693,C06,C03,C03-S04,第六、原子本位意識論（Atomistische Theorie des Bewusstseins）是れは細胞どころではない、凡ての原子に意識がある、と。 斯う云...,둘재는 神經 本位의 意識論이니 即 神經이 잇는 것 以外에 意識이 업다 한 것인데 이것은 前者에 比하야 한 層 超越한 意識觀이 될 것이며
274,C08-P24,C03-S04-I05-P06,0.07692307692307693,C08,C03,C03-S04,さう云ふ具合に、人間が猿の如き動物から來たと云ふことを眼中に置いて、いろ／＼な例を擧げてダーウインの言はぬ處を説明して居ります。,넷재는 生物 本位의 意識論이니 設使 動物이 안일지라도 生物이면 即 植物과 如한 것이라도 다 가티 意識이 잇다 하는 것인데 더욱이 廣博한 意識論의...
275,C10-P04,C03-S03-I01-P01,0.07692307692307693,C10,C03,C03-S03,其の自我より虛空を生じ、虛空より風を生じ、風より火を生じ、火より水を生じ、水より地を生じ、地より草木を生じ、草木より食物を生じ、食物より種子を生じ、種子より心を...,한울님을 바르게 미듬에는 첫재는 한울님의 確實存在를 體驗할 것 둘재는 한울님을 信仰하는 方法은 遠에 求치 안이하고 自我의 靈性을 修하는 것 세재...
276,C10-P12,C03-S04-I06-P05,0.07692307692307693,C10,C03,C03-S04,一體ヘラクリタスの如きも精神を火と見たのであります。 所が此れは獨りヘラクリタスのみではありません。 佛陀の如きも能く説法中に人間の精神を火に譬へて居ります。 ...,第一 作用은 肉體에서 生하고 肉體는 生命에서 生하고 生命은 大宇宙의 活精에서 生하는 것
277,C11-P01,C06-S06-P18,0.07692307692307693,C11,C06,C06-S06,東洋哲學の特色の何たるかを述べようと思ひますが、それに就いては先づ東洋哲學の範圍を極めて掛からんといふと問題が餘り漠然となる虞があるのであります。,以上은 儒 佛 基三敎의 差異點을 槪述한 것이라 이제 人乃天이 그 三敎의 特色에 比하야 如何한 區別이 잇는가를 言하면
278,C12-P13,C06-S06-P16,0.07692307692307693,C12,C06,C06-S06,第四には神道は現實敎であります。 即ち超絶敎でない。 彼の佛敎だの基督敎の如き宗敎は何れも超絶敎である。 超絶敎であると云つても、人間社會に無關係と云ふ意味では...,庚、佛敎는 最後 理想의 境涯를 涅槃이라 하엿스나 基督敎는 그를 天國이라 名命한 것이라 大槪 涅槃과 天國의 差別點은 前者는 모든 個性我의 差別相을...
279,C13-S01-P05,C06-S06-P28,0.07692307692307693,C13,C06,C06-S06,第四に基督敎の方は復活（レサレクション）の考があります。 基督が復活したといふことを篤く信じて、基督を信仰する者は亦基督の樣に復活するといふのがポーロの考であり...,第十 「復活」 人乃天은 肉的 復活을 信함이 아이오 靈的 復活을 信하는 것
280,C13-S01-P07,C06-S06-P05,0.07692307692307693,C13,C06,C06-S06,六には基督敎は愛を説き、儒敎は仁を説きます。 仁も愛に相違ないが、基督敎の愛は無差別平等の愛であり、儒敎の愛は差別的秩序的の愛であります。 近い處から段々遠きに...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
281,C13-S03-P02,C06-S06-P08,0.07692307692307693,C13,C06,C06-S06,第一、基督敎では愛といふことを大變に尊びますが、其の愛は前にも申しましたやうに無差別平等の愛であるか、儒敎の愛と違ふ點は無論ありますけれども、倂ながら愛を説くと...,己、基督敎는 支那의 墨子와 가티 兼愛를 說하엿으나 儒敎는 差別愛를 說한 것이라 基督 聖經中에 일넛스되 敵을 愛하라 하엿스며 人이 我의 右頰을 打...
282,C14-S03-P01,C06-S06-P06,0.07692307692307693,C14,C06,C06-S06,尙この佛敎と基督敎といふものを對照して見ますると、宗敎の種類が餘程違つて居ります。 どちらも宗敎は宗敎であるけれども、其の宗敎の種類が決して同じものではない。,丁、基督敎는 基督 復活의 理를 說하야 一般 信者가 한가지로 來世의 復活을 信하나 儒敎는 不然한 것
283,C14-S04-P02,C06-S06-P17,0.07692307692307693,C14,C06,C06-S06,第一に基督敎は神樣を全知全能のものと致しまして世界創造說を立てゝ居ります。 世界は神樣が造つたものであると、斯う舊約全書の初に說いてあるばかりでなく、ボーロの書...,辛、佛敎은 人의 災禍는 사람 自己의 自業自得인 因果律로 엇는 것이라 하엿고 基督敎는 이를 先天的 人의 罪業으로 信하는 것이라 딸하서 佛敎는 사람...
284,C14-S04-P03,C04-S01-I01-P03,0.07692307692307693,C14,C04,C04-S01,如何に佛敎と基督敎を調和しやうとしても、歷史的には到底調和することの出來ないのは、此顯著なる差異點であります。,우리는 如何히 하는지 한울님을 全知全能이라 이르지 안이치 못할 것이오 그리하야 우리는 한울님을 全知全能하다 豫定하고나서 그 勞而無功한 所以를 알...
285,C21-P07,C04-S01-I01-P03,0.07692307692307693,C21,C04,C04-S01,宗敎と道徳とを對照してお話をするには、其要素を捉へてお話せんければならぬ。 宗敎の要素といふものは何う云ふものか。 如何なる宗敎にでも是非なければならぬ要素とい...,우리는 如何히 하는지 한울님을 全知全能이라 이르지 안이치 못할 것이오 그리하야 우리는 한울님을 全知全能하다 豫定하고나서 그 勞而無功한 所以를 알...
286,C21-P11,C06-S06-P13,0.07692307692307693,C21,C06,C06-S06,吾々は始終未來を突破つて生存して行き居る。 其處に生命がある。 所で其生命に一部不明な所があると云ふのは、始終未經驗の境遇に這入つて行く爲めである。 そこで此不...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
287,C21-P16,C06-S06-P05,0.07692307692307693,C21,C06,C06-S06,(四) 救濟の信仰 救濟の信仰と申しますのは、その超人的の勢力は必ず自分を將來に於て救濟する、と。 唯、さう云ふ希望だけ言つたのぢやいけない、必ず救濟するもので...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
288,C21-P18,C03-S03-I02-P12,0.07692307692307693,C21,C03,C03-S03,(六) 仁愛 是れは凡ての進んだ宗敎に共通であります。 宗敎が進んで來ると超人的勢力といふものが廣大になる。 特殊の小さな神樣と云ふやうなことでなくして、非常に...,要컨대 人乃天의 宗敎는 사람으로써 한울 되게 하는 信仰이니 過去 사람들이 平等、自由、仁愛、慈悲와 美德은 오즉 한울님의 專有物로 하야 그를 但히 ...
289,C22-P10,C06-S04-P07,0.07692307692307693,C22,C06,C06-S04,そこで基督敎の此考はもう一つ進むと佛敎の考になる。 此處が僅かの違ひである。 哲理の方から云ふと佛敎の方が確かに深い。 其事は非常に重大な問題でありますが、それ...,이러한 新運命觀에 立脚한 우리의 生活은 어대까지든지 努力과 進化的 創造的 行爲로 모든 喜悅의 源泉를 삼을것이오 區區한 婆娑世界의 隨出隨沒하는 且...
290,C22-P21,C06-S06-P10,0.07692307692307693,C22,C06,C06-S06,私は亞米利加の「ユニテリアン」を硏究したことはないが、日本ではどうしても日本人の頭腦を以て基督敎であれ、佛敎であれ、總ての古來の宗敎の形體を棄てゝ、其精神を探つ...,甲、佛敎는 靜的 氣分을 가젓스나 基督敎는 動的의 氣分이 잇는 것이니 말하자면 佛敎는 不變不動하는 泰山喬嶽과 如하야 深靜幽遠한 態가 有하나니 그는...
291,C23-P05,C06-S06-P11,0.07692307692307693,C23,C06,C06-S06,(二)宗敎を學校の中に入れると云ふことが非常に困難であります。 宗敎と申しまするのは特殊の宗敎即ち歷史的宗敎のことであります。 佛敎や基督敎などは皆歷史的宗敎で...,乙、佛敎는 理性的 方面이 多하되 基督敎는 感情的 方面이 多한 것 佛敎의 敎理는 元來 組織的 演繹的 (例如 四聖諦 八正道 其他 認識論的 哲學) 으...
292,C26-P07,C04-S01-I03-P02,0.07692307692307693,C26,C04,C04-S01,それで白鳥博士の日本神話に對するお考は勿論一つのお考であつて、二元的と御覽になつたのは大體の上から云へば當然でありますが、是れは日本神話の内容の解釋と云ふよりは...,元來 사람性이 한울님을 崇拜하는 것은 한울님의 物質的 形式을 가르처 그를 偉大하다 하야 崇拜하는 것이 안이오 우리는 한울님의 屬性을 理想하고 그...
293,C04-P22,C03-S04-I04-P06,0.07627118644067797,C04,C03,C03-S04,十九世紀以來人間の生命に就いてはいろ／＼學術上の議論がありますけれども、其れを推詰めて分類すると其主なるものは機械論と目的論と云ふ二つに別れるのであります。 機...,以上은 生命이 가지고 잇는 特性을 一言으로 記錄함에 지나지 아니 하나 이제 生命發生에 對한 兩種의 議論을 말하면 하나는 機械論이라 하고 하나는 ...
294,C16-P12,C01-S02-I04-P01,0.07627118644067797,C16,C01,C01-S02,そこで宗敎の由つて起る所を考へて見ると、宗敎は矢張宇宙の實在を本とする。 實在と個人との關係から起る。 個人が宇宙の實在に對する感情、是が元來宗敎を產出して居る...,今日以後의 新社會에는 由來 宗敎의 經典이 如何히 될가 함은 一種 硏究의 問題가 되리라. 過去 因襲的 宗敎 經典의 敎訓이 自然 時代와 合理되지 못...
295,C14-S02-P05,C06-S06-P12,0.07575757575757576,C14,C06,C06-S06,一體佛敎は無論宗敎でありますけれども、單に宗敎であるといふだけでは盡きて居らぬ。 佛敎は亦哲學であります。 哲學と宗敎と此の兩つのものがこんがらがつて出來て居り...,丙、佛敎는 無神敎로 汎神敎에 進하야 汎神敎로 更히 一神敎를 包容한 点이 잇스나 基督敎는 純粹 一神敎인 것이라 佛敎는 元來 (原始佛敎) 婆羅門敎의...
296,C14-S05-P02,C06-S06-P17,0.07547169811320754,C14,C06,C06-S06,先づ第一に基督敎では先天罪業といふ考へがあります。 印ちアダムとエヴがエデンの樂園に於て墮落した爲めに其の後の人間は悉く先天的に罪業あるものと見られて居るのであ...,辛、佛敎은 人의 災禍는 사람 自己의 自業自得인 因果律로 엇는 것이라 하엿고 基督敎는 이를 先天的 人의 罪業으로 信하는 것이라 딸하서 佛敎는 사람...
297,C21-P19,C01-S01-I01-P02,0.07547169811320754,C21,C01,C01-S01,先づ斯う云ふ諸元素は必ず備はらなければならぬ。 是れは各宗敎共通の要素であります。 所で今度は道徳の方から觀るのでありますが社會文明が進んで來ると道徳が大變大事...,將來할 新社會는 有宗敎이랴 無宗敎이랴 하는 質疑는 우리에게 무를 必要가 업다 오즉 한 가지 튼튼한 對答은 사람에게는 사람의 全體 生活을 支持할만...
298,C23-P09,C03-S03-I02-P12,0.07547169811320754,C23,C03,C03-S03,(六)兒童に宗敎を禁ずると云ふやうなことは、それは敎育上言ふべきでない。 敎育の側では勸めもしないけれども禁じもしない。 つまり敎育は成立宗敎と無關係の狀態に在...,要컨대 人乃天의 宗敎는 사람으로써 한울 되게 하는 信仰이니 過去 사람들이 平等、自由、仁愛、慈悲와 美德은 오즉 한울님의 專有物로 하야 그를 但히 ...
299,C05-P28,C02-S02-I01-P01,0.075,C05,C02,C02-S02,どうしても宇宙の全體の法則に律せられることを免れぬやうになつて居る。 さういふ譯のものでありますから個人と宇宙とは根本的に區別し得られるものでない。,天道는 本來 ㅡ 新舊로 論할 것이 안이며 古今으로 區別할 것이 안이오 新舊古今을 通하야 儼然히 存立한 한울님의 大法性이니 이 法性이 나타나는 곳...
300,C06-P19,C03-S04-I06-P04,0.075,C06,C03,C03-S04,最も廣汎に意識を觀た説が此第六であります。 さうして此第六の説はなかなか面白い。 ネグリーであるとかヴントであるとか云ふやうな人は矢張り此第六の説を取つて居りま...,吾人은 以上에서 生命과 意識을 論한 欄에서 屢屢히 說明함과 갓티 物質은 物質뿐 안이오 精神은 精神뿐 아니라 物質과 精神은 其實實在라 하는 大宇宙...
301,C13-S02-P01,C06-S06-P08,0.075,C13,C06,C06-S06,基督敎と儒敎との敎義の類似點を論ずる前に、一體此の二敎の發生して來た本源に立返つて見ると、其處に第一顯著なる類似點があるやうに思はれます。 それは外ではありませ...,己、基督敎는 支那의 墨子와 가티 兼愛를 說하엿으나 儒敎는 差別愛를 說한 것이라 基督 聖經中에 일넛스되 敵을 愛하라 하엿스며 人이 我의 右頰을 打...
302,C13-S03-P01,C06-S06-P04,0.075,C13,C06,C06-S06,基督敎の道徳の側には餘程儒敎に似た所があります。 基督敎は固より純粹な宗敎であるけれども、倂ながら道徳の敎が澤山あります。 中には儒敎にちよつと無いやうな道徳の...,乙 基督敎는 世界의 創造를 信하나 儒敎는 宇宙의 發展을 說한것이라 例하면 基督敎의 舊約에 載한 이스라엘 神話中에 神이 六日間에 全宇宙를 創造하고...
303,C21-P05,C06-S04-P05,0.075,C21,C06,C06-S04,斯う考へるのであります。 即ち宗敎が時代と共に形を變へて新しい者となつて後の人心を支配する樣になつて來るのであらう。 進化論に依れば、總てのものが進化して行くの...,이와 가티 個人의 運命은 人類가 自己의 全的生活 如何에 依하야 左右되는 것으로 人類의 運命이라 하는 것은 오즉 人類全體의 協同扶助의 生活에서 새...
304,C21-P11,C06-S06-P05,0.075,C21,C06,C06-S06,吾々は始終未來を突破つて生存して行き居る。 其處に生命がある。 所で其生命に一部不明な所があると云ふのは、始終未經驗の境遇に這入つて行く爲めである。 そこで此不...,丙、基督敎는 來世의 生活을 信仰하나 儒敎는 現世的 實踐道德을 重히 본 것이라 基督敎의 信仰的 幸福의 目的은 此世를 標準한 者- 안이오 來世라는 ...
305,C21-P16,C01-S01-I01-P02,0.075,C21,C01,C01-S01,(四) 救濟の信仰 救濟の信仰と申しますのは、その超人的の勢力は必ず自分を將來に於て救濟する、と。 唯、さう云ふ希望だけ言つたのぢやいけない、必ず救濟するもので...,將來할 新社會는 有宗敎이랴 無宗敎이랴 하는 質疑는 우리에게 무를 必要가 업다 오즉 한 가지 튼튼한 對答은 사람에게는 사람의 全體 生活을 支持할만...
306,C16-P04,C03-S04-I03-P01,0.07462686567164178,C16,C03,C03-S04,就きましては先づ此の二大系統に關して、一つ私は述べて置きたいことがあります。 世界の宗敎の二大系統といふものを見ますと云ふと斯う云ふことが見えるのであります。 ...,神을 觀念하는 생각은 이틀 세 가지에 논하 보다 하면 하나는 多神의 觀念이오 하나는 一神의 觀念이오 하나는 汎神의 觀念이니 多神敎는 그 이름과 ...
307,C02-P16,C03-S04-I02-P03,0.07407407407407407,C02,C03,C03-S04,次に第四には、唯物論は斯う云ふ點に於て非常に長處がある樣に見える。 外界の物を硏究して、それから次第々に哲學的の考察を爲すに當つて、どうしても唯物でなければなら...,첫재 唯物論은 物質의 究竟을 말하지 못하고 오즉 唯物의 表面만 論한 것이라 物質學者는 物質을 硏究하야 分子를 어드며 原子를 어드며 原原子를 論하...
308,C06-P09,C03-S04-I04-P04,0.07407407407407407,C06,C03,C03-S04,以上三種の特徴は植物にもあるので、唯、程度が低いと云ふだけであつて、決して植物に缺乏して居る譯ではない。 が、是れから後に舉げまする二種の特徴は植物には認められ...,第三 生命은 目的이 有하다 生命은 一定한 目的이 有하야 그 目的의 方面으로 恒常 繼續的 運動을 하고 잇나니 植物이 太陽의 方面을 向하야 其枝를 ...
309,C08-P24,C03-S04-I03-P01,0.07407407407407407,C08,C03,C03-S04,さう云ふ具合に、人間が猿の如き動物から來たと云ふことを眼中に置いて、いろ／＼な例を擧げてダーウインの言はぬ處を説明して居ります。,神을 觀念하는 생각은 이틀 세 가지에 논하 보다 하면 하나는 多神의 觀念이오 하나는 一神의 觀念이오 하나는 汎神의 觀念이니 多神敎는 그 이름과 ...
310,C12-P06,C06-S06-P13,0.07407407407407407,C12,C06,C06-S06,一體神道は日本民族の宗敎心の顕れた者である。 佛敎にせよ、基督敎にせよ、皆外國輸入のものであつて日本民族の中に發生したものでない。 日本民族の中に發生したものと...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
311,C13-S01-P06,C06-S06-P02,0.07407407407407407,C13,C06,C06-S06,第五に基督敎には先天罪業の考があります。 アダムとエヴがエデンの樂園に於て墮落した結果、其後の人間は皆先天罪業を抱いて生れて來て居る。 神の敎に依つて初めて救濟...,第一 儒敎와 基督敎의 差異点으로 말하면
312,C13-S02-P03,C04-S01-I05-P02,0.07407407407407407,C13,C04,C04-S01,それは孔子が天と人との間に在る。 孔子は天と一致し、天を代表して其の數女を人間に傳へたのでありまして、孔子は人天の間の媒介者であります。 宋儒が道の本源、天に出...,神의 觀念을 이만치 생각하고 보면 吾人의 善을 行하는 動機도 이에 딸하 發生케 될 것이라 吾人은 不完全한 모든 孤立的 生活을 全的生活로 進步케 ...
313,C13-S03-P02,C06-S06-P13,0.07407407407407407,C13,C06,C06-S06,第一、基督敎では愛といふことを大變に尊びますが、其の愛は前にも申しましたやうに無差別平等の愛であるか、儒敎の愛と違ふ點は無論ありますけれども、倂ながら愛を説くと...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
314,C14-S03-P02,C03-S04-I03-P03,0.07407407407407407,C14,C03,C03-S04,第一に佛敎は汎神敎(パンテイズムス)であります。 尤も佛敎は唯、斯う言つた丈では盡きて居らぬ。 なぜならば俗佛敎は多神敎であります。 澤山のホトケがありますから...,이제 人乃天主義의 宗敎를 一神敎와 汎神敎의 觀念으로 觀하면 人乃天은 그 基礎와 根據를 汎神觀 上에 置하고 그 應用主義를 一神敎의 人格性에 歸納케...
315,C14-S04-P05,C01-S01-I02-P03,0.07407407407407407,C14,C01,C01-S01,第三に佛敎には涅槃(ニルヴーナ)の考へがあります。 涅槃は究竟目的でありまして實に印度の哲學宗敎の特色であります。 さうして是れは基督敎には全く無い事であります...,그럼으로 無窮으로부터 起하는 宗敎的 觀念은 時空의 無窮과 關連된 信念인 故로 新社會에는 必然으로 新社會에 要할 만한 宗敎的 觀念이 일어나게 되는...
316,C16-P05,C04-S01-I03-P04,0.07407407407407407,C16,C04,C04-S01,所がセミテツクの側の神と云ふものは只一つである。 さうして無形であつて、像に作ることが出來ぬ。 それで神樣を繪に書いたり像にすることは餘りやらぬことになつて居る...,局外者로서 人乃天을 疑心하는 條件 가운데는 人乃天을 動輒 無神論者와 가티 생각하는 弊害가 잇나니 그는 一神敎의 信念으로부터 思考하는 當然의 疑問...
317,C18-P05,C06-S06-P13,0.07407407407407407,C18,C06,C06-S06,所が基督敎徒の中には、其の三敎會同のあつたことを利用して狡猾なる敎略を行つた者があるやうであります。 それは地方の小學校敎員などで、能く三敎會同の趣旨を知らぬ者...,丁、儒敎는 神人敎이나 基督敎는 神政敎인 것이라 佛敎는 萬物이 皆有佛心이라하야 汎神觀的 觀念下에서 人으로 佛될 可能性이 有하다 認定하는 宗敎이나 ...
318,C22-P03,C06-S06-P17,0.07407407407407407,C22,C06,C06-S06,佛敎と基督敎は相互に種々の關係を持つて、相互に影響を及ぼしつゝあるのであります。 其關係の事をお話をするに付いて、先づ佛敎と基督敎との一長一短と見るべき所をお話...,辛、佛敎은 人의 災禍는 사람 自己의 自業自得인 因果律로 엇는 것이라 하엿고 基督敎는 이를 先天的 人의 罪業으로 信하는 것이라 딸하서 佛敎는 사람...
319,C23-P06,C06-S06-P17,0.07407407407407407,C23,C06,C06-S06,(三)學校で敎育して居る子弟は各種の家庭から來て居ります。 神道の家庭もあり、佛敎の家庭もあり、基督敎の家庭もあり、それから無宗敎の家庭もあります。 さうして無...,辛、佛敎은 人의 災禍는 사람 自己의 自業自得인 因果律로 엇는 것이라 하엿고 基督敎는 이를 先天的 人의 罪業으로 信하는 것이라 딸하서 佛敎는 사람...
320,C28-P03,C06-S01-P01,0.07407407407407407,C28,C06,C06-S01,兎に角さう云ふ具合に、日本人種といふことに就いて、大分今年は問題が起つて來たのであります。 私も其方面の事は專門ではないけれども、多大の興味を有つて居るのであり...,人乃天을 實際生活에 利用함에 가장 엇지 못할 重要한 問題는 사람은 全的 生活을 함에서 人乃天의 偉力과 및 興味가 現著하야지고 部分的 生活에서 그...
321,C03-P07,C03-S04-I07-P01,0.07377049180327869,C03,C03,C03-S04,所が進化と云ふとは變化的の現象に關する法則であつて、此變化的の現象の基礎となつて居る所の根本原理を靜止的の者とするならば――吾々は現象の方面から見て動勢的とする...,宇宙發生의 原因에 對하야는 두 가지의 觀察로 大分할 수 잇나니 하나는 宗敎的 說이며 하나는 哲學的 思考이라 宗敎的 論理는 佛敎의 認識論說과 基督...
322,C02-P33,C03-S04-I02-P02,0.07339449541284404,C02,C03,C03-S04,卽ち心物兩界、簡單にいへば心物、と斯うなる。 此心の方を取つて根本原理として世界及び人生觀を立つるのが唯心論となり、物の方を取つて根本原理とするのが唯物論となる...,唯物論이라 함은 그의 이름과 가티 宇宙를 純粹히 唯物로 보는 것이니 宇宙萬有의 存在及作用이 다갓티 物質의 現象及力에 지나지 안이 한다 함이라 唯...
323,C13-S03-P01,C06-S06-P03,0.07317073170731707,C13,C06,C06-S06,基督敎の道徳の側には餘程儒敎に似た所があります。 基督敎は固より純粹な宗敎であるけれども、倂ながら道徳の敎が澤山あります。 中には儒敎にちよつと無いやうな道徳の...,甲、基督敎는 純粹信仰에 依하야 成立된 宗敎이나 儒敎는 大體가 德敎인 것이다 基督敎는 知를 不要하고 理論을 不要하는 宗敎이니 但히 神을 信하며 神...
